,c,date,h,l,o,time,bid_to_order_volume_ratio,v
1147.0,11919.0,2022-01-17,11919.0,11910.0,11910.0,08:40,15.9468085106383,94.0
1148.0,11920.0,2022-01-17,11920.0,11919.0,11919.0,08:45,63.71739130434783,46.0
1149.0,11925.0,2022-01-17,11925.0,11910.5,11910.5,08:50,21.80078125,256.0
1150.0,11925.0,2022-01-17,11930.0,11925.0,11925.0,08:55,107.85,20.0
1151.0,11925.0,2022-01-17,11925.0,11903.0,11924.5,09:00,79.71969696969697,132.0
1152.0,11931.0,2022-01-17,11944.5,11930.0,11930.0,09:05,63.18181818181818,264.0
1153.0,11926.5,2022-01-17,11949.0,11926.5,11936.5,09:10,34.32587064676617,402.0
1154.0,11949.5,2022-01-17,11950.0,11922.0,11930.5,09:15,35.34355828220859,326.0
1155.0,11947.5,2022-01-17,11949.0,11937.0,11949.0,09:20,82.10975609756098,82.0
1156.0,11940.0,2022-01-17,11947.0,11924.0,11943.5,09:25,49.27570093457944,214.0
1157.0,11950.5,2022-01-17,11964.0,11940.0,11947.5,09:30,19.44037940379404,738.0
1158.0,11965.5,2022-01-17,11965.5,11958.5,11958.5,09:35,24.80392156862745,204.0
1159.0,11938.5,2022-01-17,11965.5,11922.0,11956.0,09:40,32.3733552631579,608.0
1160.0,11932.5,2022-01-17,11952.5,11930.5,11950.0,09:45,1327.139344262295,122.0
1161.0,11925.5,2022-01-17,11937.0,11920.0,11930.5,09:50,43.96296296296296,162.0
1162.0,11944.5,2022-01-17,11944.5,11928.0,11930.0,09:55,30.95731707317073,164.0
1163.0,11979.0,2022-01-17,11979.0,11925.5,11944.5,10:00,35.65294117647059,1700.0
1164.0,11996.5,2022-01-17,11999.0,11970.0,11974.5,10:05,18.43392330383481,3390.0
1165.0,11977.0,2022-01-17,12000.0,11965.0,11996.5,10:10,15.984025559105431,3130.0
1166.0,11948.0,2022-01-17,11978.0,11922.0,11965.5,10:15,12.452298488664988,6352.0
1167.0,11949.5,2022-01-17,11950.0,11920.0,11950.0,10:20,25.3858407079646,2260.0
1168.0,11944.0,2022-01-17,11950.0,11936.5,11949.0,10:25,21.38753387533876,1476.0
1169.0,11977.0,2022-01-17,11986.0,11944.0,11944.0,10:30,61.86022514071295,1066.0
1170.0,11970.0,2022-01-17,11993.5,11961.0,11980.0,10:35,25.34375,2016.0
1171.0,11951.5,2022-01-17,11973.0,11951.5,11970.0,10:40,61.51140684410647,526.0
1172.0,11942.0,2022-01-17,11966.5,11931.0,11951.0,10:45,17.86020942408377,3820.0
1173.0,11880.5,2022-01-17,11947.0,11863.5,11939.5,10:50,53.75395894428153,3410.0
1174.0,11802.0,2022-01-17,11888.0,11800.0,11880.0,10:55,25.54251247920133,12020.0
1175.0,11830.0,2022-01-17,11849.5,11772.0,11808.0,11:00,42.278829604130806,8134.0
1176.0,11825.0,2022-01-17,11842.5,11810.0,11829.5,11:05,34.087659380692166,4392.0
1177.0,11798.5,2022-01-17,11830.5,11780.0,11826.5,11:10,37.29462160875774,4202.0
